Titel;Händelse;Ändring;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
YIELD - BOSTÄDER;Räntechock;1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;14;15;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Pandemins eftereffekt;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;15;14;#EF5656;#FDE6E6;#FCF6EF
YIELD - BOSTÄDER;Demografisk förskjutning;1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Bostäder.png;16;13;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Stark detaljhandel;-1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;17;20;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Ökad kontorsefterfrågan;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;18;19;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;E-handel pressar butiker;1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;19;18;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Teknikbolag etablerar sig;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;20;17;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Vakanser stiger i kontor;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;21;24;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Lågkonjunktur;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;22;23;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Flexkontor tar marknadsandelar;0,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;23;22;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Kommersiellt uppsving;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;24;21;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Turistboom i centrum;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;25;28;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Restaurangbransch växer;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;26;27;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Handelsdöd i stadskärna;1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;27;26;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Logistikhub planeras;0,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;28;25;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Kontorsflykt till förort;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;29;32;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Hyrestak införs;0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;30;31;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Pandemieffekt avtar;-0,50%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;31;30;#EF5656;#FDE6E6;#FCF6EF
YIELD - KOMMERSIELLT;Grön omställning driver efterfrågan;-1,00%;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Yield Kommersiellt.png;32;29;#EF5656;#FDE6E6;#FCF6EF
