ID;Typ;Händelsetyp;Rubrik;Effekt_Mkr;Mildring_roll;Mildring_spec;Mildring_effekt_Mkr;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
FSK-01;FÖRSKOLA;Tekniska installationer;Ventilation underkänd vid OVK;-0,5;Fastighetschef;Samhälle;0;Luftflöden i lekrum understiger krav. Komplettering av ventilationssystem;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;11;10;#EF5656;#FDE6E6;#FCF6EF
FSK-02;FÖRSKOLA;Tekniska installationer;Vattenläcka i kök;-1;Fastighetsskötare;Teknisk;-0,5;Diskmaskin i storkök läcker. Golv och underskåp skadas;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;12;9;#EF5656;#FDE6E6;#FCF6EF
FSK-03;FÖRSKOLA;Drift och underhåll;Lekutrustning saknar underhåll;-0,5;Fastighetschef;Samhälle;0;Rutschkana och klätterställning behöver säkerhetsbesiktning;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;13;16;#EF5656;#FDE6E6;#FCF6EF
FSK-04;FÖRSKOLA;Säkerhet;Inbrott med skadegörelse;-0,5;;;;Fönster krossade och inventarier förstörda under helgen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;14;15;#EF5656;#FDE6E6;#FCF6EF
FSK-05;FÖRSKOLA;Byggnad;Golvmatta lossnar;-0,5;Fastighetsskötare;Teknisk;0;Plastmatta i allrum bubblar. Fuktmätning och omläggning;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;15;14;#EF5656;#FDE6E6;#FCF6EF
FSK-06;FÖRSKOLA;Säkerhet;Brandövning avslöjar brister;-0,5;Fastighetsskötare;Teknisk;0;Nödutgång blockerad av möbler. Utrymningsplan behöver revideras;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;16;13;#EF5656;#FDE6E6;#FCF6EF
FSK-07;FÖRSKOLA;Byggnad;Solvärme i leksal;-0,5;Fastighetschef;Samhälle;0;Solinstrålning överhettar lokalen sommartid. Utvändig markis behövs;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;17;20;#EF5656;#FDE6E6;#FCF6EF
FSK-08;FÖRSKOLA;Byggnad;Krav på ny planlösning;-1;;;;Kommunen kräver anpassning till nytt antal avdelningar;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;18;19;#EF5656;#FDE6E6;#FCF6EF
FSK-09;FÖRSKOLA;Drift och underhåll;Skadedjursbekämpning;-0,5;;;;Skadedjur upptäcks i förrådsutrymmen. Saneringsfirma anlitas akut.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;19;18;#EF5656;#FDE6E6;#FCF6EF
FSK-10;FÖRSKOLA;Drift och underhåll;Kommunalt underhållsbidrag;0,5;;;;Kommunen beviljar bidrag för planerade underhållsåtgärder.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;20;17;#EF5656;#FDE6E6;#FCF6EF
LOK-01;LOKAL;Hyresgäst;Restauranghyresgäst stänger;-1;Fastighetschef;Kommersiellt;-0,5;Konkurrerande verksamhet gör att restaurangen säger upp hyreskontraktet;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;21;24;#EF5656;#FDE6E6;#FCF6EF
LOK-02;LOKAL;Tekniska installationer;Fettavskiljare full;-1,5;;;;Fettavskiljaren i restauranglokal är överfull. Akutsanering och tömning;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;22;23;#EF5656;#FDE6E6;#FCF6EF
LOK-03;LOKAL;Tekniska installationer;Skyltbelysning trasig;-1;Fastighetschef;Kommersiellt;-0,5;Fasadbelysning och butiksskylt slutar fungera. Elektriker behövs;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;23;22;#EF5656;#FDE6E6;#FCF6EF
LOK-04;LOKAL;Hyresgäst;Hyresgäst bygger om utan lov;-0,5;;;;Butiksinnehavaren river väggar utan fastighetsägarens tillstånd. Återställning krävs.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;24;21;#EF5656;#FDE6E6;#FCF6EF
LOK-05;LOKAL;Tekniska installationer;Kylanläggning havererar;-0,5;Fastighetsskötare;Teknisk;0;Kylsystem i livsmedelsbutik går sönder. Akut reparation;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;25;28;#EF5656;#FDE6E6;#FCF6EF
LOK-06;LOKAL;Byggnad;Golv slits ner;-0,5;;;;Betonggolv i handelslokal slits. Behöver slipas och epoxibeläggas;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;26;27;#EF5656;#FDE6E6;#FCF6EF
LOK-07;LOKAL;Säkerhet;Grafitti på fasad;-0,5;Fastighetsskötare;Teknisk;0;Fasaden klottras ned upprepade gånger. Klotterskydd diskuteras;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;27;26;#EF5656;#FDE6E6;#FCF6EF
LOK-08;LOKAL;Byggnad;Översvämning från gatan;-0,5;Fastighetsskötare;Teknisk;0;Skyfall gör att vatten strömmar in genom entrédörr. Tröskelåtgärd;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;28;25;#EF5656;#FDE6E6;#FCF6EF
LOK-09;LOKAL;Myndigheter;Tillsynsbesök godkänt;0,5;;;;Kommunal tillsynsförrättning är genomförd utan anmärkningar.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;29;32;#EF5656;#FDE6E6;#FCF6EF
LOK-10;LOKAL;Hyresgäst;Hyresgäst säger upp i förtid;-0,5;Fastighetschef;Kommersiellt;0;Hyresgästen säger upp lokalen i förtid. Fastighetschefen söker ny verksamhet.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;30;31;#EF5656;#FDE6E6;#FCF6EF
KON-01;KONTOR;Tekniska installationer;Ventilationsbuller stör;-1;Fastighetschef;Kommersiellt;-0,5;Anställda klagar på bakgrundsbuller från fläktrum. Ljudisolering;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;31;30;#EF5656;#FDE6E6;#FCF6EF
KON-02;KONTOR;Hyresgäst;Hyresgäst vill förhandla ner hyra;-0,5;Fastighetsskötare;Teknisk;0;Kontorshyresgäst hotar flytta om inte hyran sänks vid omförhandling;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;32;29;#EF5656;#FDE6E6;#FCF6EF
KON-03;KONTOR;Tekniska installationer;Elkapacitet räcker inte;-1;Fastighetschef;Kommersiellt;-0,5;Nya servrar kräver mer el. Elcentral måste uppgraderas;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;33;36;#EF5656;#FDE6E6;#FCF6EF
KON-04;KONTOR;Tekniska installationer;Vattenläcka från sprinkler;-0,5;;;;Sprinklerhuvud aktiveras felaktigt. Kontorsrum vattenskadat;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;34;35;#EF5656;#FDE6E6;#FCF6EF
KON-05;KONTOR;Tekniska installationer;Hiss behöver moderniseras;-0,5;Fastighetsskötare;Teknisk;0;Hissen uppfyller inte nya tillgänglighetskrav. Dyr ombyggnad;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;35;34;#EF5656;#FDE6E6;#FCF6EF
KON-06;KONTOR;Byggnad;Parkeringsdäck spricker;-1;;;;Betongdäcket i parkeringshuset har ytskador och armeringskorrosion;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;36;33;#EF5656;#FDE6E6;#FCF6EF
KON-07;KONTOR;Tekniska installationer;Kylsystem läcker kylmedium;-0,5;;;;Kylmaskin för komfortkyla läcker köldmedium. Miljöanmälan krävs;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;37;40;#EF5656;#FDE6E6;#FCF6EF
KON-08;KONTOR;Tekniska installationer;Entréport ur funktion;-0,5;Fastighetsskötare;Teknisk;0;Automatisk entré slutar fungera. Manuell öppning tills reparation sker;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;38;39;#EF5656;#FDE6E6;#FCF6EF
KON-09;KONTOR;Säkerhet;Brandkontroll godkänd;0,5;;;;Brandskyddskontroll är genomförd utan anmärkningar.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;39;38;#EF5656;#FDE6E6;#FCF6EF
KON-10;KONTOR;Hyresgäst;Störande ombyggnation grannen;-0,5;Fastighetschef;Kommersiellt;0;Granne bygger om och stör med oljud och damm. Fastighetschefen samordnar klagomål.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;40;37;#EF5656;#FDE6E6;#FCF6EF
ALLA-01;HYRESRÄTT;Marknad och ekonomi;Elprishöjning drabbar alla fastigheter;-0,5;;;;Kraftig elprischock ökar driftskostnaden för samtliga fastigheter;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;41;44;#EF5656;#FDE6E6;#FCF6EF
ALLA-02;HYRESRÄTT;Marknad och ekonomi;Försäkringspremie höjs;-1;Fastighetsskötare;Generalist;-0,5;Försäkringsbolaget höjer premien efter flera skador i portföljen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;42;43;#EF5656;#FDE6E6;#FCF6EF
ALLA-03;HYRESRÄTT;Myndigheter;Ny lagstiftning om energideklaration;-0,5;;;;Strängare krav på energideklaration. Alla fastigheter måste uppdateras;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;43;42;#EF5656;#FDE6E6;#FCF6EF
ALLA-04;HYRESRÄTT;Myndigheter;Kommunal VA-taxa höjs kraftigt;-0,5;;;;VA-taxan höjs med 30%. Påverkar alla fastigheter i portföljen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;44;41;#EF5656;#FDE6E6;#FCF6EF
ALLA-05;HYRESRÄTT;Marknad och ekonomi;Ränteuppgång;-0,5;;;;Riksbanken höjer styrräntan. Finansieringskostnaderna ökar;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;45;48;#EF5656;#FDE6E6;#FCF6EF
ALLA-06;HYRESRÄTT;Marknad och ekonomi;Positiv mediebevakning;0,5;;;;Lokaltidningen skriver positivt om kvarteret. Bra för hyresgästattraktion;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;46;47;#EF5656;#FDE6E6;#FCF6EF
ALLA-07;HYRESRÄTT;Myndigheter;Kommunen inför miljözon;-1;Fastighetsskötare;Teknisk;-0,5;Ny miljözon begränsar transporter. Driftkostnader för underhåll ökar;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;47;46;#EF5656;#FDE6E6;#FCF6EF
ALLA-08;HYRESRÄTT;Drift och underhåll;Statligt renoveringsbidrag;-1;Fastighetsskötare;Teknisk;-0,5;Nytt stöd för energirenovering. Möjlighet att söka bidrag;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;48;45;#EF5656;#FDE6E6;#FCF6EF
ALLA-09;HYRESRÄTT;Säkerhet;Vandalisering;-0,5;;;;Skadegörelse drabbar fastigheten. Reparation och eventuell polisanmälan krävs.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;49;52;#EF5656;#FDE6E6;#FCF6EF
ALLA-10;HYRESRÄTT;Drift och underhåll;Driftoptimering lyckas;-1;Fastighetsskötare;Teknisk;-0,5;Genomförd driftoptimering ger besparingar i värme, el och vatten.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;50;51;#EF5656;#FDE6E6;#FCF6EF
ALLA-01;FÖRSKOLA;Marknad och ekonomi;Elprishöjning drabbar alla fastigheter;-0,5;;;;Kraftig elprischock ökar driftskostnaden för samtliga fastigheter;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;51;50;#EF5656;#FDE6E6;#FCF6EF
ALLA-02;FÖRSKOLA;Marknad och ekonomi;Försäkringspremie höjs;-1;Fastighetsskötare;Generalist;-0,5;Försäkringsbolaget höjer premien efter flera skador i portföljen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;52;49;#EF5656;#FDE6E6;#FCF6EF
ALLA-03;FÖRSKOLA;Myndigheter;Ny lagstiftning om energideklaration;-0,5;;;;Strängare krav på energideklaration. Alla fastigheter måste uppdateras;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;53;56;#EF5656;#FDE6E6;#FCF6EF
ALLA-04;FÖRSKOLA;Myndigheter;Kommunal VA-taxa höjs kraftigt;-0,5;;;;VA-taxan höjs med 30%. Påverkar alla fastigheter i portföljen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;54;55;#EF5656;#FDE6E6;#FCF6EF
ALLA-05;FÖRSKOLA;Marknad och ekonomi;Ränteuppgång;-0,5;;;;Riksbanken höjer styrräntan. Finansieringskostnaderna ökar;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;55;54;#EF5656;#FDE6E6;#FCF6EF
ALLA-06;FÖRSKOLA;Marknad och ekonomi;Positiv mediebevakning;0,5;;;;Lokaltidningen skriver positivt om kvarteret. Bra för hyresgästattraktion;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;56;53;#EF5656;#FDE6E6;#FCF6EF
ALLA-07;FÖRSKOLA;Myndigheter;Kommunen inför miljözon;-1;Fastighetsskötare;Teknisk;-0,5;Ny miljözon begränsar transporter. Driftkostnader för underhåll ökar;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;57;60;#EF5656;#FDE6E6;#FCF6EF
ALLA-08;FÖRSKOLA;Drift och underhåll;Statligt renoveringsbidrag;0,5;;;;Nytt stöd för energirenovering. Möjlighet att söka bidrag;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;58;59;#EF5656;#FDE6E6;#FCF6EF
ALLA-09;FÖRSKOLA;Säkerhet;Vandalisering;-0,5;;;;Skadegörelse drabbar fastigheten. Reparation och eventuell polisanmälan krävs.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;59;58;#EF5656;#FDE6E6;#FCF6EF
ALLA-10;FÖRSKOLA;Drift och underhåll;Driftoptimering lyckas;0,5;;;;Genomförd driftoptimering ger besparingar i värme, el och vatten.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Generell.png;60;57;#EF5656;#FDE6E6;#FCF6EF
ALLA-01;LOKAL;Marknad och ekonomi;Elprishöjning drabbar alla fastigheter;-0,5;;;;Kraftig elprischock ökar driftskostnaden för samtliga fastigheter;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;61;64;#EF5656;#FDE6E6;#FCF6EF
ALLA-02;LOKAL;Marknad och ekonomi;Försäkringspremie höjs;-0,5;Fastighetsskötare;Generalist;0;Försäkringsbolaget höjer premien efter flera skador i portföljen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;62;63;#EF5656;#FDE6E6;#FCF6EF
ALLA-03;LOKAL;Myndigheter;Ny lagstiftning om energideklaration;-0,5;;;;Strängare krav på energideklaration. Alla fastigheter måste uppdateras;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;63;62;#EF5656;#FDE6E6;#FCF6EF
ALLA-04;LOKAL;Myndigheter;Kommunal VA-taxa höjs kraftigt;-0,5;;;;VA-taxan höjs med 30%. Påverkar alla fastigheter i portföljen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;64;61;#EF5656;#FDE6E6;#FCF6EF
ALLA-05;LOKAL;Marknad och ekonomi;Ränteuppgång;-0,5;;;;Riksbanken höjer styrräntan. Finansieringskostnaderna ökar;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;65;68;#EF5656;#FDE6E6;#FCF6EF
ALLA-06;LOKAL;Marknad och ekonomi;Positiv mediebevakning;0,5;;;;Lokaltidningen skriver positivt om kvarteret. Bra för hyresgästattraktion;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;66;67;#EF5656;#FDE6E6;#FCF6EF
ALLA-07;LOKAL;Myndigheter;Kommunen inför miljözon;-1;Fastighetsskötare;Teknisk;-0,5;Ny miljözon begränsar transporter. Driftkostnader för underhåll ökar;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;67;66;#EF5656;#FDE6E6;#FCF6EF
ALLA-08;LOKAL;Drift och underhåll;Statligt renoveringsbidrag;0,5;;;;Nytt stöd för energirenovering. Möjlighet att söka bidrag;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;68;65;#EF5656;#FDE6E6;#FCF6EF
ALLA-09;LOKAL;Säkerhet;Vandalisering;-0,5;;;-0,5;Skadegörelse drabbar fastigheten. Reparation och eventuell polisanmälan krävs.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;69;72;#EF5656;#FDE6E6;#FCF6EF
ALLA-10;LOKAL;Drift och underhåll;Driftoptimering lyckas;0,5;;;;Genomförd driftoptimering ger besparingar i värme, el och vatten.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Generell.png;70;71;#EF5656;#FDE6E6;#FCF6EF
ALLA-01;KONTOR;Marknad och ekonomi;Elprishöjning drabbar alla fastigheter;-0,5;;;;Kraftig elprischock ökar driftskostnaden för samtliga fastigheter;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;71;70;#EF5656;#FDE6E6;#FCF6EF
ALLA-02;KONTOR;Marknad och ekonomi;Försäkringspremie höjs;-1;Fastighetsskötare;Generalist;-0,5;Försäkringsbolaget höjer premien efter flera skador i portföljen;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;72;69;#EF5656;#FDE6E6;#FCF6EF
ALLA-03;KONTOR;Myndigheter;Ny lagstiftning om energideklaration;-0,5;;;;Strängare krav på energideklaration. Alla fastigheter måste uppdateras;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Generell.png;73;76;#EF5656;#FDE6E6;#FCF6EF
