Namn;Namn2;namn_en;Typ;Förekomst;Kostnad;Formfaktor;linjetyp;BTA;Anskaffning;Marknadsvärde;Rörligt marknadsvärde;Kvalitet;Hållbarhet;Tid;Riskbuffert;Antal krav;Nämndbeslut;LED;KOM;SAM;PRO;ABM;MARK;HUSUNDERBYGGNAD;STOMME;YTTERTAK;FASADER;STOMKOMPLETTERING;INV YTSKIKT;INSTALLATIONER;GEMENSAMMA ARBETEN;Energiklass;Skalfaktor;Driftnetto;intäkt/kvm nu;förslag intäkt;temp;temp2;@formbild;@titelbild;status fb;fill_color;line_color;ordning_bild;ordning_text
FÖRSKOLOR Tussilagon;Tussilagon;coltsfoot flower, first spring bloom, yellow petals;FÖRSKOLOR;1;5;6;streckad;1500;91;143;D8;2;2;1;1;3;1;1;1;;1;2;;Förstärkt konstruktion;;Tegeltak;;;;Avancerade system;;B;1,05;2;56;58;53;79;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\FÖRSKOLOR Tussilagon.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Tussilagon.png;temp;#0F3D5C;#1A6B9A;18;16
LOKAL Bonden;Bonden;pawn chess piece, simple soldier;LOKAL;3;2;2;streckad;750;36;34;D6;1;2;;;;1;1;1;2;1;;;;;;;;;;;C;1;0,5;46,66666667;45;41;31;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Bonden.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Bonden.png;temp;#7A4A10;#C87820;19;21
LOKAL Drottningen;Drottningen;queen chess piece, crown, powerful;LOKAL;3;3;2;streckad;1250;57;97;D8;1;2;;;;1;1;1;2;1;;;;;;;;;;;D;0,95;1,5;44;45;40;50;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Drottningen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Drottningen.png;temp;#7A4A10;#C87820;20;20
LOKAL Gambiten;Gambiten;chess gambit, bold opening move, strategy;LOKAL;3;4;2;streckad;1750;77;92;D10;1;2;;;;1;1;1;1;1;;;;;;;;;;;E;0,9;1,5;41,71428571;45;38;67;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Gambiten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Gambiten.png;temp;#7A4A10;#C87820;21;19
LOKAL Kungen;Kungen;king chess piece, royal crown;LOKAL;2;6;5;streckad;1750;98;136;D10;1;2;1;;3;1;1;1;2;;1;;;Betong etablerat;;;;Standardfinish;;Standardmiljö;C;1;2;52;55;48;85;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Kungen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Kungen.png;temp;#7A4A10;#C87820;22;24
LOKAL Löparen;Löparen;bishop chess piece, diagonal, mitre hat;LOKAL;2;4;3;streckad;1250;64;97;D8;1;2;;;2;1;1;1;2;1;;;Standard betongkonstruktion;;Plåttak standard;;;;;;D;0,95;1,5;48,8;50;45;56;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Löparen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Löparen.png;temp;#7A4A10;#C87820;23;23
LOKAL Motdraget;Motdraget;counter-move, chess strategy, clever response;LOKAL;2;3;2;streckad;1000;51;61;D8;1;2;;;2;1;;1;2;1;;;;;;Tegelfasad;;;;;E;0,9;1;49;49;44;44;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Motdraget.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Motdraget.png;temp;#7A4A10;#C87820;24;22
LOKAL Rokaden;Rokaden;castling chess move, tower and king;LOKAL;1;1;1;streckad;500;25;34;D4;2;2;;;1;1;1;1;1;1;1;;;;;Natursten;;;;;C;1;0,5;50;47;44;22;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Rokaden.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Rokaden.png;temp;#7A4A10;#C87820;25;27
LOKAL Springaren;Springaren;knight chess piece, horse, L-shaped leap;LOKAL;1;7;8;streckad;2000;120;162;D12;2;2;2;;3;3;1;1;2;1;;;Förstärkt konstruktion;;Tegeltak;;Förstärkt ljudisolering;;;;D;0,95;2,5;55,5;60;52;104;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Springaren.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Springaren.png;temp;#7A4A10;#C87820;26;26
LOKAL Tornet;Tornet;rook chess piece, castle tower;LOKAL;1;6;7;streckad;1750;103;122;D10;2;2;1;;3;1;1;1;2;1;1;;;;;Natursten;;Kvalitetsfinish;;;E;0,9;2;54,85714286;58;51;90;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\LOKAL Tornet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Tornet.png;temp;#7A4A10;#C87820;27;25
KONTOR Galaxen;Galaxen;spiral galaxy, cosmic swirl, stars;KONTOR;3;3;2;streckad;1000;47;68;D6;1;1;;1;;1;;1;1;2;1;;;;;;;;;;C;1;1;45;45;41;41;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Galaxen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Galaxen.png;temp;#321F50;#5B3A8A;28;30
KONTOR Fyrtornet;Fyrtornet;lighthouse, guiding beacon, coastal tower;KONTOR;3;4;2;streckad;1500;69;97;D8;1;1;;1;;1;;1;1;2;1;;;;;;;;;;D;0,95;1,5;43,33333333;45;40;60;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Fyrtornet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Fyrtornet.png;temp;#321F50;#5B3A8A;29;29
KONTOR Bastionen;Bastionen;fortress bastion, strong walls, fortification;KONTOR;3;5;2;streckad;2000;89;122;D10;1;1;;1;;1;;1;2;1;1;;;;;;;;;;E;0,9;2;41,5;45;38;77;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Bastionen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Bastionen.png;temp;#321F50;#5B3A8A;30;28
KONTOR Nebulosan;Nebulosan;nebula cloud, cosmic dust, star formation;KONTOR;2;4;3;streckad;1250;62;102;D12;2;2;;;2;1;;1;1;1;1;;Standard betongkonstruktion;;;;Standard lösningar;;;;C;1;1,5;48,8;51;43;54;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Nebulosan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Nebulosan.png;temp;#321F50;#5B3A8A;31;33
KONTOR Kvadranten;Kvadranten;quadrant instrument, navigational grid, precise angles;KONTOR;2;6;5;streckad;1750;97;129;D12;2;2;1;;3;1;;1;1;2;1;;;Betong etablerat;;Tegelfasad;;Standardfinish;;;D;0,95;2;52;56;48;84;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Kvadranten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Kvadranten.png;temp;#321F50;#5B3A8A;32;32
KONTOR Kometbanan;Kometbanan;comet trail, blazing streak, shooting star;KONTOR;2;6;5;streckad;1750;97;122;D12;2;2;1;;3;1;1;1;1;1;1;;;;Plåttak standard;;Standard lösningar;;Standardsystem;;E;0,9;2;52;56;48;84;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Kometbanan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Kometbanan.png;temp;#321F50;#5B3A8A;33;31
KONTOR Stjärnhamnen;Stjärnhamnen;star harbor, celestial port, constellation anchorage;KONTOR;1;7;8;streckad;2000;126;204;D12;2;3;2;;4;4;;1;1;2;1;;;Prefab-element;;;Förstärkt ljudisolering;;Avancerade system;Förbättrad miljö;C;1;3;58,5;63;55;110;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Stjärnhamnen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Stjärnhamnen.png;temp;#321F50;#5B3A8A;34;36
KONTOR Rymdaxeln;Rymdaxeln;space axis, orbital pole, cosmic alignment;KONTOR;1;7;8;streckad;2000;121;162;D10;2;3;2;;2;3;1;1;1;2;1;;;;;;;Kvalitetsfinish;;Förbättrad miljö;D;0,95;2,5;55,5;59;52;105;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Rymdaxeln.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Rymdaxeln.png;temp;#321F50;#5B3A8A;35;35
KONTOR Observatoriet;Observatoriet;telescope dome, observatory, stargazing;KONTOR;1;7;8;streckad;2000;129;184;D12;3;3;2;;4;4;;1;2;2;1;;;;;;;;;;E;0,9;3;59,5;64;56;112;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\KONTOR Observatoriet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Observatoriet.png;temp;#321F50;#5B3A8A;36;34
Hyresrätt Hamnskiftet;Hamnskiftet;harbor port, anchor, waterfront transformation;Hyresrätt;3;2;2;prickad;750;34;68;D6;1;1;;;;1;;1;2;;1;;;;;;;;;;C;1;1;45,33333333;44;40;30;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Hamnskiftet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Hamnskiftet.png;temp;#4D1A1A;#8A3030;37;39
Hyresrätt Fågelsången;Fågelsången;bird singing, musical notes, morning chorus;Hyresrätt;3;3;2;prickad;1250;55;65;D8;1;1;;;;1;;1;2;1;;;;;;;;;;;D;0,95;1;42,4;44;39;48;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Fågelsången.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Fågelsången.png;temp;#4D1A1A;#8A3030;38;38
Hyresrätt Bergsluttningen;Bergsluttningen;hillside slope, mountain terrain, elevation;Hyresrätt;3;4;2;prickad;1500;75;92;D10;1;1;;;3;1;;1;2;;1;;;Betong lokalt;;Puts;;;;Flärdlöst;E;0,9;1,5;47,33333333;50;43;65;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Bergsluttningen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Bergsluttningen.png;temp;#4D1A1A;#8A3030;39;37
Hyresrätt Rosenlunden;Rosenlunden;rose bush, blooming flowers, garden grove;Hyresrätt;2;2;1;prickad;750;37;68;D6;2;1;;1;1;1;;0;2;1;1;;;;;;;Standardfinish;;;C;1;1;48;47;43;32;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Rosenlunden.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Rosenlunden.png;temp;#4D1A1A;#8A3030;40;42
Hyresrätt Lövängen;Lövängen;autumn leaves, rustling foliage, meadow;Hyresrätt;2;4;3;prickad;1250;66;97;D8;2;1;;1;2;1;;2;1;;1;;;;;;Standard lösningar;;;;D;0,95;1,5;49,6;51;46;57;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Lövängen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Lövängen.png;temp;#4D1A1A;#8A3030;41;41
Hyresrätt Kvarnbacken;Kvarnbacken;windmill, mill hill, grinding stone;Hyresrätt;2;5;4;prickad;1500;82;122;D10;2;1;;1;3;1;1;1;1;;1;;;Betong etablerat;;Tegelfasad;;;;Standardmiljö;E;0,9;2;51,33333333;54;47;71;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Kvarnbacken.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Kvarnbacken.png;temp;#4D1A1A;#8A3030;42;40
Hyresrätt Åkanten;Åkanten;riverbank, water edge, flowing stream;Hyresrätt;1;2;2;prickad;750;39;68;D6;2;2;;1;1;1;;1;1;1;1;;Förstärkt konstruktion;;;Natursten;;;;Förbättrad miljö;C;1;1;50,66666667;49;45;34;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Åkanten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Åkanten.png;temp;#4D1A1A;#8A3030;43;45
Hyresrätt Stenbrynet;Stenbrynet;whetstone, sharp stone edge, grinding;Hyresrätt;1;7;8;prickad;2000;122;179;D12;2;2;2;1;3;4;1;1;2;;1;;;Prefab-element;;;Förstärkt ljudisolering;;Avancerade system;;B;1,05;2,5;56,5;61;53;106;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Stenbrynet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Stenbrynet.png;temp;#4D1A1A;#8A3030;44;44
Hyresrätt Sjöglimten;Sjöglimten;lake shimmer, glittering water, reflections;Hyresrätt;1;6;7;prickad;1750;101;129;D10;2;2;1;1;2;1;;1;2;1;1;;;;Tegeltak;;;;;Förbättrad miljö;D;0,95;2;53,71428571;57;50;88;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\1. Projektutveckling\IC\former\temp\Hyresrätt Sjöglimten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Sjöglimten.png;temp;#4D1A1A;#8A3030;45;43
