ID;Typ;Händelsetyp;Rubrik;Effekt;Är_dolt;Är_varningskort;Är_energi_varning;Är_förköpsrätt;Är_stoppkort;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
FS-06;FÖRSKOLA;Hyresgäst;Tillfällig evakuering vid ombyggnad;minuskort;ja;nej;nej;nej;nej;Verksamheten flyttar ut en period medan lokalerna åtgärdas.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Förskolor Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
FS-07;FÖRSKOLA;Underhåll;Skärpta krav på utemiljön;minuskort;ja;nej;nej;nej;nej;Myndighetskrav på lekytor och staket ger extra kostnader.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Förskolor Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
LO-01;LOKAL;Hyresgäst;Ny hyresgäst på högre nivå;pluskort;ja;nej;nej;nej;nej;En vakant lokal hyrs ut till en hyresgäst som betalar mer.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
LO-02;LOKAL;Marknad;Omsättningshyran överraskar positivt;pluskort;ja;nej;nej;nej;nej;Hyresgästens omsättning överträffar prognos och hyran följer med upp.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
LO-03;LOKAL;Hyresgäst;Hyresgästen går i konkurs;minuskort;ja;nej;nej;nej;nej;Verksamheten läggs ned och lokalen blir vakant.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
LO-04;LOKAL;Marknad;E-handeln pressar besökstalen;minuskort;ja;nej;nej;nej;nej;Färre besökare ger lägre omsättningshyror.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
LO-05;LOKAL;Underhåll;Skyltsystemet behöver uppdateras;varning;nej;ja;nej;nej;nej;Varningskort. Tre på fastigheten kräver ett skyltbyte.;#7A5A1F;#E0B856;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#E0B856;#FDE6E6;#FCF6EF
LO-06;LOKAL;Energi;Belysningen är energislukande;energivarning;nej;ja;ja;nej;nej;Energivarning. Tre på samma fastighet sänker energiklassen ett steg.;#7A6E1F;#E0D656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#E0D656;#FDE6E6;#FCF6EF
LO-07;LOKAL;Marknad;Förköpsrätt på granntomtens lokal;förköpsrätt;nej;nej;nej;ja;nej;Behåll på hand. Ger dig förstaval när en lokal sätts till budgivning.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#5688E0;#FDE6E6;#FCF6EF
KO-01;KONTOR;Hyresgäst;Hyresgästen säger upp lokalen;minuskort;ja;nej;nej;nej;nej;En större kontorshyresgäst flyttar och ytan blir vakant.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
KO-02;KONTOR;Marknad;Storbolag tecknar hel våning;pluskort;ja;nej;nej;nej;nej;Ett konsultbolag hyr en hel våning på ett långt avtal.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
KO-03;KONTOR;Hyresgäst;Aktivitetsbaserat ger högre hyra;pluskort;ja;nej;nej;nej;nej;Modern inredning attraherar en hyresgäst som betalar mer.;#1F5E2B;#5CC07A;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#5CC07A;#FDE6E6;#FCF6EF
KO-04;KONTOR;Underhåll;Hissservicen är eftersatt;varning;nej;ja;nej;nej;nej;Varningskort. Tre på fastigheten kräver en hissåtgärd.;#7A5A1F;#E0B856;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#E0B856;#FDE6E6;#FCF6EF
KO-05;KONTOR;Energi;Klimatanläggningen åldras;energivarning;nej;ja;ja;nej;nej;Energivarning. Tre på samma fastighet sänker energiklassen ett steg.;#7A6E1F;#E0D656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#E0D656;#FDE6E6;#FCF6EF
KO-06;KONTOR;Marknad;Förköpsrätt på granntomtens kontor;förköpsrätt;nej;nej;nej;ja;nej;Behåll på hand. Ger dig förstaval när ett kontor sätts till budgivning.;#1F4D7A;#5688E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#5688E0;#FDE6E6;#FCF6EF
KO-07;KONTOR;Hyresgäst;Ytor krymper efter omorganisation;minuskort;ja;nej;nej;nej;nej;Hyresgästen minskar sina ytor och driftnettot sjunker.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#EF5656;#FDE6E6;#FCF6EF
ST-01;HYRESRÄTT;Strategi;Stoppkort — avvärj fientligt bud;stoppkort;nej;nej;nej;nej;ja;Behåll på hand. Spelas för att avvärja ett fientligt bud på en hyresrätt.;#4D1F7A;#9056E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Hyresrätt Generell.png;1;4;#9056E0;#FDE6E6;#FCF6EF
ST-02;KONTOR;Strategi;Stoppkort — avvärj fientligt bud;stoppkort;nej;nej;nej;nej;ja;Behåll på hand. Spelas för att avvärja ett fientligt bud på ett kontor.;#4D1F7A;#9056E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Kontor Generell.png;1;4;#9056E0;#FDE6E6;#FCF6EF
ST-03;LOKAL;Strategi;Stoppkort — avvärj fientligt bud;stoppkort;nej;nej;nej;nej;ja;Behåll på hand. Spelas för att avvärja ett fientligt bud på en lokal.;#4D1F7A;#9056E0;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Lokal Generell.png;1;4;#9056E0;#FDE6E6;#FCF6EF
