Namn;Namn2;namn_en;Typ;Förekomst;Kostnad;Formfaktor;linjetyp;BTA;Anskaffning;Marknadsvärde;Bas_DN;Lanebelopp;Rantekostnad_kvartal;Rörligt marknadsvärde;Kvalitet;Hållbarhet;Tid;Riskbuffert;Antal krav;Nämndbeslut;STA;KOM;SAM;NOG;INN;ABM;MARK;HUSUNDERBYGGNAD;STOMME;YTTERTAK;FASADER;STOMKOMPLETTERING;INV YTSKIKT;INSTALLATIONER;GEMENSAMMA ARBETEN;Energiklass;Skalfaktor;Driftnetto;intäkt/kvm nu;förslag intäkt;temp;temp2;@formbild;@titelbild;status fb;fill_color;line_color;ordning_bild;ordning_text;Beskrivning;skede_color;bakskede;bakgrund_color
Förskolan Kullerbyttan;Kullerbyttan;somersault, tumble, playful roll;FÖRSKOLA;3;4;2;prickad;1500;67;101;5;70;1;;1;1;-;-;;1;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;D;0,95;1,5;42;44;39;58;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Kullerbyttan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Kullerbyttan.png;temp;#3f4a1f;#e9ebd5;11;11;"Mellanstor förskola där barnen kan tumla runt; energiklassen har dock lite att önska. Här finns potential att rulla uppåt!";#DDA063;#e9ebd5;#e9ebd5
Förskolan Nyckelpigan;Nyckelpigan;ladybug, spotted beetle, garden friend;FÖRSKOLA;3;2;2;prickad;750;31;50;3;40;0;;1;1;-;-;;1;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;D;0,9;0,5;45,33333333;44;36;27;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Nyckelpigan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Nyckelpigan.png;temp;#3f4a1f;#e9ebd5;12;10;Pytteliten prick på kartan med energiklass D, men varje liten nyckelpiga har sitt värde. Modest hyra för modest yta.;#DDA063;#e9ebd5;#e9ebd5
Förskolan Regnbågen;Regnbågen;rainbow, colorful arc, after rain;FÖRSKOLA;2;7;6;prickad;2000;125;179;9;130;1;;1;2;1;1;5;3;1;1;1;-;-;2;-;nivå 2;-;nivå 2;-;nivå 2;-;nivå 2;nivå 2;C;1;2,5;57,5;61;54;109;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Regnbågen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Regnbågen.png;temp;#3f4a1f;#e9ebd5;13;15;"Stor och hållbar som en regnbåge efter stormen; kräver tid men belönar med hela färgpaletten. Grön profil med gyllene driftnetto!";#DDA063;#e9ebd5;#e9ebd5
Förskolan Skattkistan;Skattkistan;treasure chest, golden chest, pirate loot;FÖRSKOLA;2;4;3;prickad;1250;64;92;5;60;1;;1;2;-;1;3;1;1;1;-;1;-;1;-;-;-;-;nivå 3;-;nivå 2;-;-;C;1;1;50,4;53;45;56;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Skattkistan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Skattkistan.png;temp;#3f4a1f;#e9ebd5;14;14;"En dold skatt för den hållbarhetsmedvetne; lagom stor med fokus på grön framtid. Öppna locket och hitta stabila intäkter.";#DDA063;#e9ebd5;#e9ebd5
Förskolan Smultronstället;Smultronstället;wild strawberry patch, secret spot, hidden paradise;FÖRSKOLA;2;6;5;prickad;1750;101;145;7;100;1;;1;2;1;1;4;1;1;1;1;-;-;2;-;nivå 2;-;nivå 2;-;nivå 2;-;nivå 2;-;C;1;2;54,28571429;58;50;88;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Smultronstället.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Smultronstället.png;temp;#3f4a1f;#e9ebd5;15;13;Stort och hållbart favoritprojekt, men smultron tar tid att mogna. Tålamod belönas med saftiga hyresintäkter!;#DDA063;#e9ebd5;#e9ebd5
Förskolan Stjärnfröet;Stjärnfröet;star seed, cosmic sprout, celestial growth;FÖRSKOLA;1;3;4;prickad;1000;53;80;4;60;1;;2;2;-;1;1;1;1;2;-;-;-;1;-;nivå 3;-;-;-;-;-;-;-;D;0,95;1;51;51;46;46;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Stjärnfröet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Stjärnfröet.png;temp;#3f4a1f;#e9ebd5;16;18;"Litet frö med stora ambitioner; kräver kvalitet och hållbarhet för att gro. Energiklassen kan dock behöva lite gödning.";#DDA063;#e9ebd5;#e9ebd5
Förskolan Trollskogen;Trollskogen;enchanted forest, magical woods, fairy tale grove;FÖRSKOLA;1;4;5;prickad;1250;71;113;6;80;1;;2;2;1;1;2;1;-;1;1;1;-;1;-;-;nivå 3;-;-;-;nivå 3;-;-;D;0,9;1,5;53,6;55;50;62;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Trollskogen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Trollskogen.png;temp;#3f4a1f;#e9ebd5;17;17;Förtrollande krävande på alla fronter: kvalitet, hållbarhet och tid i en mystisk mix. Energiklass D ger äventyret extra spänning!;#DDA063;#e9ebd5;#e9ebd5
Förskolan Tussilagon;Tussilagon;coltsfoot flower, early spring bloom, yellow wildflower;FÖRSKOLA;1;5;6;prickad;1500;91;147;7;100;1;;2;2;1;1;3;1;1;1;-;1;-;2;-;nivå 3;-;nivå 3;-;-;-;nivå 3;-;B;1,05;2;56;58;53;79;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\Förskolor Tussilagon.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\FÖRSKOLOR Tussilagon.png;temp;#3f4a1f;#e9ebd5;18;16;Först att blomma med bästa energiklass B, men kräver gröna tummar på alla plan. Områdets mest framtidssäkra förskola!;#DDA063;#e9ebd5;#e9ebd5
Lokalen Bonden;Bonden;the pawn, chess piece, opening move;LOKAL;3;2;2;streckad;750;36;52;3;40;0;;1;2;-;-;;1;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;C;1;0,5;46,66666667;45;41;31;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Bonden.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Bonden.png;temp;#6e4a18;#f1e3c6;19;21;"Liten men jordnära spelöppning; stabil investering för den försiktige. Hållbart fokus i kompakt format.";#DDA063;#f1e3c6;#f1e3c6
Lokalen Drottningen;Drottningen;the queen, chess piece, powerful move;LOKAL;3;3;2;streckad;1250;57;101;5;70;1;;1;2;-;-;;1;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;D;0,95;1,5;44;45;40;50;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Drottningen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Drottningen.png;temp;#6e4a18;#f1e3c6;20;20;"Mäktig mitt på brädet med god räckvidd; energin kunde vara bättre men intäkterna kompenserar. Den starkaste mellanstorleken!";#DDA063;#f1e3c6;#f1e3c6
Lokalen Gambiten;Gambiten;the gambit, chess sacrifice, strategic opening;LOKAL;3;4;2;streckad;1750;77;123;6;90;1;;1;2;-;-;;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;D;0,9;1,5;41,71428571;45;38;67;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Gambiten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Gambiten.png;temp;#6e4a18;#f1e3c6;21;19;"En offensiv satsning i stor skala; man offrar energiklass för position. Vågat men potentiellt lysande!";#DDA063;#f1e3c6;#f1e3c6
Lokalen Kungen;Kungen;the king, chess piece, royal protection;LOKAL;2;6;5;streckad;1750;98;141;7;100;1;;1;2;1;-;3;1;1;1;2;-;-;1;-;-;nivå 2;-;-;-;nivå 2;-;nivå 2;C;1;2;52;55;48;85;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Kungen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Kungen.png;temp;#6e4a18;#f1e3c6;22;24;"Ståtlig och strategisk med imponerande driftnetto; kräver tålamod men kontrollerar hela spelet. Schack matt för konkurrenterna!";#DDA063;#f1e3c6;#f1e3c6
Lokalen Löparen;Löparen;the bishop, chess piece, diagonal move;LOKAL;2;4;3;streckad;1250;64;101;5;70;1;;1;2;-;-;2;1;1;1;2;1;-;-;-;nivå 2;-;nivå 2;-;-;-;-;-;D;0,95;1,5;48,8;50;45;56;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Löparen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Löparen.png;temp;#6e4a18;#f1e3c6;23;23;"Smidig diagonal satsning i mellanklassen; rör sig elegant mellan budget och intäkt. Energin har dock utrymme att förbättras.";#DDA063;#f1e3c6;#f1e3c6
Lokalen Motdraget;Motdraget;the countermove, chess response, defensive play;LOKAL;2;3;2;streckad;1000;51;81;4;60;1;;1;2;-;-;2;1;-;1;2;1;-;-;-;-;-;-;nivå 3;-;-;-;-;D;0,9;1;49;49;44;44;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Motdraget.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Motdraget.png;temp;#6e4a18;#f1e3c6;24;22;"Kompakt taktiskt drag med hållbar profil; energiklass D är motdragets lilla hemlighet. Ibland vinner den som spelar litet.";#DDA063;#f1e3c6;#f1e3c6
Lokalen Rokaden;Rokaden;castling, chess maneuver, king safety;LOKAL;1;1;1;streckad;500;25;36;2;30;0;;2;2;-;-;1;1;1;1;1;1;-;1;-;-;-;-;nivå 3;-;-;-;-;C;1;0,5;50;47;44;22;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Rokaden.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Rokaden.png;temp;#6e4a18;#f1e3c6;25;27;"Minsta pjäsen på brädet men med kvalitetskrav; en elegant manöver för den som tänker strategiskt. Liten insats, smart position!";#DDA063;#f1e3c6;#f1e3c6
Lokalen Springaren;Springaren;the knight, chess piece, L-shaped move;LOKAL;1;7;8;streckad;2000;120;181;9;130;1;;2;2;2;-;3;3;1;1;2;1;-;-;-;nivå 3;-;nivå 3;-;nivå 3;-;-;-;D;0,95;2,5;55,5;60;52;104;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Springaren.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Springaren.png;temp;#6e4a18;#f1e3c6;26;26;Brädets största projekt hoppar över alla hinder, men kräver tid och djupa fickor. Energin haltar men ytan imponerar!;#DDA063;#f1e3c6;#f1e3c6
Lokalen Tornet;Tornet;the rook, chess piece, straight power;LOKAL;1;6;7;streckad;1750;103;164;8;110;1;;2;2;1;-;3;1;1;1;2;1;-;1;-;-;-;-;nivå 3;-;nivå 3;-;-;D;0,9;2;54,85714286;58;51;90;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\lokal Tornet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\LOKAL Tornet.png;temp;#6e4a18;#f1e3c6;27;25;"Höga krav och höga ambitioner i detta ståtliga hörn; energiklassen behöver renoveras men driftnettot imponerar. Stabil som en fästning!";#DDA063;#f1e3c6;#f1e3c6
Kontoret Galaxen;Galaxen;galaxy, spiral nebula, cosmic swirl;KONTOR;3;3;2;streckad;1000;47;71;4;50;0;;1;1;-;1;;1;-;1;1;2;-;1;-;-;-;-;-;-;-;-;-;C;1;1;45;45;41;41;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Galaxen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Galaxen.png;temp;#363f4a;#e0e5ea;28;30;"Kompakt rymdstation för den nystartade; enkelt och prisvärt med hygglig energi. Små steg för kontoret, stora kliv för kassan!";#DDA063;#e0e5ea;#e0e5ea
Kontoret Fyrtornet;Fyrtornet;lighthouse, beacon tower, guiding light;KONTOR;3;4;2;streckad;1500;69;104;5;70;1;;1;1;-;1;;1;-;1;1;2;-;1;-;-;-;-;-;-;-;-;-;D;0,95;1,5;43,33333333;45;40;60;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Fyrtornet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Fyrtornet.png;temp;#363f4a;#e0e5ea;29;29;"Lyser upp kontorsmarknaden i mellanklass; energin fladdrar lite men intäkterna är stabila. En trygg hamn för hyresgäster!";#DDA063;#e0e5ea;#e0e5ea
Kontoret Bastionen;Bastionen;bastion, fortified tower, stronghold;KONTOR;3;5;2;streckad;2000;89;142;7;100;1;;1;1;-;1;;1;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;D;0,9;2;41,5;45;38;77;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Bastionen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Bastionen.png;temp;#363f4a;#e0e5ea;30;28;"Stor kontorsfästning till budgetpris; energiklass D ger utrymme för framtida uppgradering. Mycket yta för pengarna!";#DDA063;#e0e5ea;#e0e5ea
Kontoret Nebulosan;Nebulosan;nebula, cosmic cloud, star nursery;KONTOR;2;4;3;streckad;1250;62;108;5;80;1;;2;2;-;-;2;1;-;1;1;1;-;1;-;nivå 2;-;-;-;nivå 2;-;-;-;C;1;1,5;48,8;51;43;54;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Nebulosan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Nebulosan.png;temp;#363f4a;#e0e5ea;31;33;"Mystiskt lysande kontor med kvalitets- och hållbarhetskrav; modern energiklass i kompakt format. En stjärna i vardande!";#DDA063;#e0e5ea;#e0e5ea
Kontoret Kvadranten;Kvadranten;quadrant, navigation instrument, star chart;KONTOR;2;6;5;streckad;1750;97;146;7;100;1;;2;2;1;-;3;1;-;1;1;2;-;1;-;-;nivå 2;-;nivå 3;-;nivå 2;-;-;D;0,95;2;52;56;48;84;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Kvadranten.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Kvadranten.png;temp;#363f4a;#e0e5ea;32;32;"Välplanerat kontorsprojekt i rätt sektor av galaxen; kräver tid och kvalitet men navigerar mot fint driftnetto.";#DDA063;#e0e5ea;#e0e5ea
Kontoret Kometbanan;Kometbanan;comet path, orbital trail, stellar trajectory;KONTOR;2;6;5;streckad;1750;97;154;8;110;1;;2;2;1;-;3;1;1;1;1;1;-;1;-;-;-;nivå 2;-;nivå 2;-;nivå 2;-;D;0,9;2;52;56;48;84;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Kometbanan.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Kometbanan.png;temp;#363f4a;#e0e5ea;33;31;"Sveper in med fart och ambition; samma kaliber som Kvadranten men energiklassen lämnar en svans av förbättringspotential!";#DDA063;#e0e5ea;#e0e5ea
Kontoret Stjärnhamnen;Stjärnhamnen;star harbor, celestial port, cosmic dock;KONTOR;1;7;8;streckad;2000;126;210;11;150;2;;2;3;2;-;4;4;-;1;1;2;-;1;-;-;nivå 3;-;-;nivå 3;-;nivå 3;nivå 3;C;1;3;58,5;63;55;110;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Stjärnhamnen.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Stjärnhamnen.png;temp;#363f4a;#e0e5ea;34;36;"Galaxens kronjuvel med toppnoteringar i hållbarhet och driftnetto; en premium rymdhamn för den tålmodige investeraren!";#DDA063;#e0e5ea;#e0e5ea
Kontoret Rymdaxeln;Rymdaxeln;space axis, cosmic alignment, stellar center;KONTOR;1;7;8;streckad;2000;121;182;9;130;1;;2;3;2;-;2;3;1;1;1;2;-;1;-;-;-;-;-;-;nivå 3;-;nivå 3;D;0,95;2,5;55,5;59;52;105;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Rymdaxeln.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Rymdaxeln.png;temp;#363f4a;#e0e5ea;35;35;"Ambitiöst projekt som snurrar kring hög hållbarhet; energin vinglar lite men driftnettot håller kursen. Nära stjärnorna!";#DDA063;#e0e5ea;#e0e5ea
Kontoret Observatoriet;Observatoriet;observatory, telescope dome, stargazing;KONTOR;1;7;8;streckad;2000;129;205;10;140;1;;3;3;2;-;4;4;-;1;2;2;-;1;-;-;-;-;-;-;-;-;-;D;0,9;3;59,5;64;56;112;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Former\kontor Observatoriet.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\KONTOR Observatoriet.png;temp;#363f4a;#e0e5ea;36;34;"Det mest krävande kontoret i universum; toppkvalitet och maximal hållbarhet till galaktiskt pris. Energiklass D? Kalla det retrocharm!";#DDA063;#e0e5ea;#e0e5ea
