Typ;Nr;Namn;Energiklass_projekt;Tröskel_1_8;Tröskel_9_15;Tröskel_16_21;Tröskel_22_plus;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
KVALITET;Q5;Fasadskador kräver ommålning;1;-14 Mkr, -1 Q, -1 H;-8 Mkr;-3 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;15;14;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q6;Ventilationssystem ej injusterat;0;-18 Mkr, -2 Q, -1 H;-10 Mkr;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;16;13;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q7;El-installationer underkänns vid revision;0;-15 Mkr, -1 Q;-8 Mkr;-3 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;17;20;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q8;Hiss underkänd vid slutkontroll;0;-18 Mkr, -2 Q, -1 H;-12 Mkr;-5 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;18;19;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q9;Golvmattor lossnar;0;-12 Mkr, -2 Q;-6 Mkr;-2 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;19;18;#91B542;#EEF4E3;#FCF6EF
KVALITET;Q10;F i slutbesiktning;2;-20 Mkr, -2 Q, -2 H;-12 Mkr;-5 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\HÃ¤ndelsekort Kvalitet.png;20;17;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H1;Energiklass sämre än projekterat;1;-15 Mkr, -2 H;-8 Mkr;-3 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;21;24;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H2;Radonhalt över gränsvärde;0;-18 Mkr, -1 Q, -2 H;-10 Mkr;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;22;23;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H3;Fukt i konstruktion kräver uttorkning;1;-16 Mkr, -2 H;-10 Mkr;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;23;22;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H4;Miljöcertifiering hotas av materialval;1;-12 Mkr, -1 Q, -1 H;-6 Mkr;-2 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;24;21;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H5;Dagvattenhantering underdimensionerad;1;-15 Mkr, -2 H;-8 Mkr;-3 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;25;28;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H6;Bullervillkor överskrids mot grannar;0;-18 Mkr, -1 H;-10 Mkr;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;26;27;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H7;Kemikalier i byggmaterial ifrågasätts;1;-10 Mkr, -2 H;-5 Mkr;-2 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;27;26;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H8;Avfallssortering underkänns vid revision;0;-16 Mkr, -2 Q, -2 H;-8 Mkr;-3 Mkr;-1 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;28;25;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H9;Materialval bryter mot miljöplan;0;-18 Mkr, -1 Q, -2 H;-10 Mkr;-4 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;29;32;#91B542;#EEF4E3;#FCF6EF
HÅLLBARHET;H10;Kommunen kräver kompensation;1;-20 Mkr, -2 Q, -2 H;-12 Mkr;-5 Mkr;-2 Mkr;#4D5E22;#91B542;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;30;31;#91B542;#EEF4E3;#FCF6EF
;;;;;;;;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;31;30;#91B542;#EEF4E3;#FCF6EF
;;;;;;;;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Konsekvenskort Konsekvens.png;32;29;#91B542;#EEF4E3;#FCF6EF
