Typ;Nr;Namn;Tröskel_1_8;Tröskel_9_15;Tröskel_16_21;Tröskel_22_plus;fill_color;line_color;@bild;ordning_bild;ordning_text
Q;G_Q7;Hissfel;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;18;19
Q;G_Q8;Dålig passning i inredning;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;19;18
Q;G_Q9;Balkongproblem;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;20;17
Q;G_Q10;El- och datainstallationer felaktiga;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;21;24
Q;G_Q_K;KATASTROFALT: Dolt fuktskadefel - samtliga lägenheter berörs;-18 Mkr;-12 Mkr;-7 Mkr;-4 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;22;23
H;G_H1;Energiprestanda under krav;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;23;22
H;G_H2;Ventilationsflöden otillräckliga;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;24;21
H;G_H3;Värmesystem ojämnt;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;25;28
H;G_H4;Dagvattensystem underdimensionerat;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;26;27
H;G_H5;Solceller underpresterar;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;27;26
H;G_H6;Bullernivåer överskridna;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;28;25
H;G_H7;Materialemissioner;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;29;32
H;G_H8;Radonvärden for höga;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;30;31
H;G_H9;Avfallshantering bristfällig;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;31;30
H;G_H10;Grönyta underhåll eftersatt;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;32;29
H;G_H_K;KATASTROFALT: Radon och PCB kräver sanering av hela byggnaden;-20 Mkr;-14 Mkr;-8 Mkr;-5 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;33;36
EK;G_EK1;Dålig energiklass - driftskostnader;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;34;35
EK;G_EK2;Energiklass medför tillsyn;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;35;34
EK;G_EK3;Certifieringsbrist;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;36;33
EK;G_EK4;Styrning och reglering bristfällig;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;37;40
EK;G_EK5;Klimatskal underpresterar;-5 Mkr;-3 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;38;39
EK;G_EK6;Värmeåtervinning ineffektiv;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;39;38
EK;G_EK7;Överdriven energiförbrukning;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;40;37
EK;G_EK8;Kylsystem underdimensionerat;-3 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;41;44
EK;G_EK9;Komfortproblem - tilläggsinvestering;-4 Mkr;-2 Mkr;-1 Mkr;Ingen effekt;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;42;43
EK;G_EK10;Hyresgäster kräver kompensation;-5 Mkr;-3 Mkr;-2 Mkr;-1 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;43;42
EK;G_EK_K;KATASTROFALT: Energideklaration ogiltig - ombyggnad krävs;-16 Mkr;-11 Mkr;-6 Mkr;-3 Mkr;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;44;41
;;;;;;;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;45;48
;;;;;;;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;46;47
;;;;;;;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;47;46
;;;;;;;#556B2F;#556B2F;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Garantibesiktning Garantibesiktning.png;48;45
